"user_name","user_birth_date","user_birth_city","seller","seller_address","transaction_amount","transaction_date"
"Vittorio Gentili","1992-04-27","Sommati","Aloisio s.r.l.","Vicolo Camilleri, 82 Appartamento 6 23814, Maggio (LC)","37,74","2022-11-05"
"Mario Acerbi","1987-11-15","Cava D'Aliga","Panicucci-Abbagnale e figli","Incrocio Arsenio, 6 Piano 8 30171, Mestre (VE)","125,93","2022-11-08"
"Maria Marazzi","1992-06-18","Melle","Stefanelli-Tebaldi e figli","Vicolo Abate, 3 Appartamento 4 47832, San Clemente (RN)","85,17","2022-10-16"
"Sig.ra Lauretta Gigli","1991-09-14","Pignataro Maggiore","Zamengo e figli","Via Scarfoglio, 145 09030, Pabillonis (SU)","157,91","2022-11-06"
"Luciano Castiglione","1993-06-07","Baricella","Fattori, Zarlino e Schiavo Group","Viale Bergoglio, 34 Appartamento 3 23016, Mantello (SO)","156,97","2022-10-26"
"Marta Coppola","1984-03-04","Albese Con Cassano","Murialdo, Spinelli e Loredan Group","Rotonda Simone, 5 63835, Montappone (FM)","18,81","2022-10-26"
"Sig.ra Lauretta Gigli","1991-09-14","Pignataro Maggiore","Borsiere SPA","Canale Alessandra, 93 71041, Carapelle (FG)","47,39","2022-10-14"
"Diana Maffei","1995-12-06","Peschici","Sforza-Ferrata SPA","Stretto Cafarchia, 3 Piano 7 30035, Mirano (VE)","8,24","2022-11-05"
"Mirko Malatesta","2000-02-10","Santorso","Salieri SPA","Via Bocca, 40 Piano 7 87010, Rota Greca (CS)","97,84","2022-11-06"
"Mario Acerbi","1987-11-15","Cava D'Aliga","Gucci, Garibaldi e Celentano s.r.l.","Contrada Margherita, 949 Appartamento 88 70121, Bari (BA)","27,38","2022-10-14"
"Vittorio Gentili","1992-04-27","Sommati","Ferrazzi-Gaiatto SPA","Strada Dulbecco, 54 Piano 9 25011, Calcinato (BS)","75,47","2022-11-04"
"Mirko Malatesta","2000-02-10","Santorso","Bonino-Nolcini e figli","Via Casaleggio, 15 Appartamento 97 44037, Jolanda Di Savoia (FE)","46,85","2022-10-15"
"Ugolino Schicchi-Traversa","1995-04-17","Carnello","Tosto, Piacentini e Trapani SPA","Via Sonia, 1 Piano 5 35017, Ronchi (PD)","125,50","2022-10-29"
"Vittorio Gentili","1992-04-27","Sommati","Almagià-Zanazzo e figli","Incrocio Accardo, 96 Appartamento 51 15029, Solero (AL)","214,45","2022-10-22"
"Sig.ra Lauretta Gigli","1991-09-14","Pignataro Maggiore","Ioppi, Baggio e Trentin e figli","Vicolo Donatella, 710 Piano 4 25031, Capriolo (BS)","234,94","2022-11-04"
"Marta Coppola","1984-03-04","Albese Con Cassano","Sinisi s.r.l.","Strada Sagredo, 58 Appartamento 29 05039, Stroncone (TR)","42,81","2022-11-08"
"Maria Marazzi","1992-06-18","Melle","Roero Group","Strada Goldoni, 913 Piano 0 84039, San Marco Di Teggiano (SA)","214,90","2022-10-21"
"Mario Acerbi","1987-11-15","Cava D'Aliga","Panicucci-Abbagnale e figli","Incrocio Arsenio, 6 Piano 8 30171, Mestre (VE)","154,70","2022-10-20"
"Luciano Castiglione","1993-06-07","Baricella","Malaparte s.r.l.","Stretto Carla, 20 Piano 7 63900, San Marco (FM)","124,44","2022-11-07"
"Sig.ra Lauretta Gigli","1991-09-14","Pignataro Maggiore","Scotti SPA","Stretto Ciampi, 368 Piano 8 24020, Gromo (BG)","151,36","2022-10-26"
"Tullio Majorana","1991-12-04","Giralba","Anguillara s.r.l.","Piazza Puccio, 4 Appartamento 43 43050, Valmozzola Stazione (PR)","70,29","2022-11-06"
"Maria Marazzi","1992-06-18","Melle","Morpurgo, Ferrucci e Agostinelli SPA","Incrocio Cipolla, 599 20842, Besana In Brianza (MB)","188,58","2022-11-09"
"Mario Acerbi","1987-11-15","Cava D'Aliga","Varano, Satta e Sauro s.r.l.","Piazza Niccolò, 63 37121, Verona (VR)","186,14","2022-10-31"
"Vittorio Gentili","1992-04-27","Sommati","Ferrazzi-Gaiatto SPA","Strada Dulbecco, 54 Piano 9 25011, Calcinato (BS)","153,74","2022-10-29"
"Ugolino Schicchi-Traversa","1995-04-17","Carnello","Comencini, Boito e Modigliani SPA","Via Ernesto, 166 50019, Querceto (FI)","168,75","2022-10-28"
"Mario Acerbi","1987-11-15","Cava D'Aliga","Gucci, Garibaldi e Celentano s.r.l.","Contrada Margherita, 949 Appartamento 88 70121, Bari (BA)","43,7","2022-10-29"
"Maria Marazzi","1992-06-18","Melle","Palazzo Group","Viale Iannucci, 926 32020, Avoscan (BL)","6,10","2022-11-11"
"Ugolino Schicchi-Traversa","1995-04-17","Carnello","Comencini, Boito e Modigliani SPA","Via Ernesto, 166 50019, Querceto (FI)","233,13","2022-10-24"
"Diana Maffei","1995-12-06","Peschici","Bataglia SPA","Vicolo Zacco, 15 Piano 1 88824, Belvedere Di Spinello (KR)","39,37","2022-10-28"
"Luciano Castiglione","1993-06-07","Baricella","Malaparte s.r.l.","Stretto Carla, 20 Piano 7 63900, San Marco (FM)","31,89","2022-10-15"
"Mirko Malatesta","2000-02-10","Santorso","Napolitano, Udinesi e Panicucci Group","Viale Montanari, 0 Appartamento 88 60022, Acquaviva Villa Musone (AN)","45,87","2022-11-03"
"Luciano Castiglione","1993-06-07","Baricella","Fattori, Zarlino e Schiavo Group","Viale Bergoglio, 34 Appartamento 3 23016, Mantello (SO)","200,36","2022-10-29"
"Mirko Malatesta","2000-02-10","Santorso","Barese, Boccioni e Bixio Group","Vicolo Comeriato, 3 Appartamento 4 41058, Vignola (MO)","107,59","2022-11-01"
"Tullio Majorana","1991-12-04","Giralba","Anguillara s.r.l.","Piazza Puccio, 4 Appartamento 43 43050, Valmozzola Stazione (PR)","4,77","2022-10-27"
"Mirko Malatesta","2000-02-10","Santorso","Roero-Ferrari s.r.l.","Strada Tomaselli, 6 Piano 5 31035, Ciano Del Montello (TV)","49,96","2022-10-13"
"Vittorio Gentili","1992-04-27","Sommati","Almagià-Zanazzo e figli","Incrocio Accardo, 96 Appartamento 51 15029, Solero (AL)","179,36","2022-10-25"
"Marta Coppola","1984-03-04","Albese Con Cassano","Cociarelli, Rosselli e Giannetti Group","Contrada Roberta, 26 Appartamento 4 06083, Bastia (PG)","104,89","2022-11-04"
"Diana Maffei","1995-12-06","Peschici","Vercelloni, Fioravanti e Navone Group","Rotonda Tiziana, 93 Piano 9 03010, Madonna Delle Grazie (FR)","7,54","2022-11-08"
"Maria Marazzi","1992-06-18","Melle","Palazzo Group","Viale Iannucci, 926 32020, Avoscan (BL)","23,7","2022-10-29"
"Mirko Malatesta","2000-02-10","Santorso","Guglielmi SPA","Vicolo Lina, 99 Appartamento 9 72014, Caranna (BR)","127,58","2022-11-04"
"Diana Maffei","1995-12-06","Peschici","Bondumier SPA","Rotonda Argenti, 7 Piano 8 13855, Valdengo (BI)","133,4","2022-11-08"
"Tullio Majorana","1991-12-04","Giralba","Toninelli-Foconi Group","Strada Angelina, 79 Piano 1 17022, Borgio (SV)","146,88","2022-11-07"
"Mario Acerbi","1987-11-15","Cava D'Aliga","Varano, Satta e Sauro s.r.l.","Piazza Niccolò, 63 37121, Verona (VR)","141,56","2022-10-25"
"Vittorio Gentili","1992-04-27","Sommati","Leoncavallo-Fagotto Group","Viale Maspero, 24 Appartamento 5 34136, Trieste (TS)","146,50","2022-10-18"
"Vittorio Gentili","1992-04-27","Sommati","Almagià-Zanazzo e figli","Incrocio Accardo, 96 Appartamento 51 15029, Solero (AL)","64,45","2022-10-29"
"Mirko Malatesta","2000-02-10","Santorso","Prada-Meucci e figli","Incrocio Spanevello, 89 Piano 7 00159, Roma (RM)","45,67","2022-11-04"
"Marta Coppola","1984-03-04","Albese Con Cassano","Oscuro SPA","Incrocio Morandi, 3 Appartamento 84 76123, Andria (BT)","209,89","2022-10-16"
"Tullio Majorana","1991-12-04","Giralba","Stoppani Group","Vicolo Pietrangeli, 84 Piano 0 90037, Piana Degli Albanesi (PA)","200,44","2022-10-24"
"Sig.ra Lauretta Gigli","1991-09-14","Pignataro Maggiore","Falier SPA","Borgo Giuseppe, 71 24023, Clusone (BG)","245,13","2022-10-14"
"Luciano Castiglione","1993-06-07","Baricella","Gangemi e figli","Via Alberico, 0 89049, Stilo (RC)","244,86","2022-10-17"
"Sig.ra Lauretta Gigli","1991-09-14","Pignataro Maggiore","Borsiere SPA","Canale Alessandra, 93 71041, Carapelle (FG)","65,32","2022-11-10"
"Vittorio Gentili","1992-04-27","Sommati","Odescalchi Group","Borgo Gianmarco, 539 16049, Amborzasco (GE)","30,89","2022-10-30"
"Vittorio Gentili","1992-04-27","Sommati","Jacuzzi-Ariosto e figli","Viale Rodolfo, 40 Appartamento 29 87010, Frascineto (CS)","52,90","2022-10-20"
"Vittorio Gentili","1992-04-27","Sommati","Leoncavallo-Fagotto Group","Viale Maspero, 24 Appartamento 5 34136, Trieste (TS)","214,93","2022-10-21"
"Mirko Malatesta","2000-02-10","Santorso","Cannizzaro-Barberini Group","Viale Sole, 94 Appartamento 13 23893, Cassago Brianza (LC)","9,39","2022-11-06"
"Marta Coppola","1984-03-04","Albese Con Cassano","Porcellato, Monaco e Udinese Group","Via Amadeo, 718 Piano 3 55018, Segromigno In Monte (LU)","221,71","2022-10-13"
"Tullio Majorana","1991-12-04","Giralba","Volta e figli","Piazza Gritti, 29 Appartamento 2 34071, Brazzano (GO)","198,37","2022-10-17"
"Mirko Malatesta","2000-02-10","Santorso","Salieri SPA","Via Bocca, 40 Piano 7 87010, Rota Greca (CS)","60,97","2022-11-09"
"Mario Acerbi","1987-11-15","Cava D'Aliga","Tornatore, Condoleo e Garzoni SPA","Contrada Tiziana, 242 Appartamento 3 01027, Zepponami (VT)","57,78","2022-10-23"
"Ugolino Schicchi-Traversa","1995-04-17","Carnello","Serlupi-Colletti e figli","Piazza Giampiero, 26 Piano 1 26025, Pandino (CR)","47,54","2022-10-17"
"Luciano Castiglione","1993-06-07","Baricella","Callegaro, Gottardi e Montalti SPA","Stretto Dossi, 78 46020, Schivenoglia (MN)","9,85","2022-11-04"
"Sig.ra Lauretta Gigli","1991-09-14","Pignataro Maggiore","Mazzanti-Grasso Group","Canale Rosario, 94 Appartamento 73 36021, Ponte Di Barbarano (VI)","153,94","2022-10-26"
"Mirko Malatesta","2000-02-10","Santorso","Barese, Boccioni e Bixio Group","Vicolo Comeriato, 3 Appartamento 4 41058, Vignola (MO)","32,55","2022-11-02"
"Luciano Castiglione","1993-06-07","Baricella","Giovine SPA","Borgo Gabba, 443 Piano 7 74014, Laterza (TA)","125,71","2022-11-01"
"Mario Acerbi","1987-11-15","Cava D'Aliga","Bianchini-Zola e figli","Via Pareto, 258 92027, Licata (AG)","144,29","2022-10-30"
"Mario Acerbi","1987-11-15","Cava D'Aliga","Greggio-Mascagni Group","Rotonda Mauro, 14 Appartamento 64 84052, Ceraso (SA)","78,2","2022-10-21"
"Ugolino Schicchi-Traversa","1995-04-17","Carnello","Comencini, Boito e Modigliani SPA","Via Ernesto, 166 50019, Querceto (FI)","18,49","2022-10-16"
"Tullio Majorana","1991-12-04","Giralba","Anguillara s.r.l.","Piazza Puccio, 4 Appartamento 43 43050, Valmozzola Stazione (PR)","210,74","2022-10-13"
"Maria Marazzi","1992-06-18","Melle","Morpurgo, Ferrucci e Agostinelli SPA","Incrocio Cipolla, 599 20842, Besana In Brianza (MB)","211,29","2022-11-09"
"Mirko Malatesta","2000-02-10","Santorso","Filippini, Vidoni e Vigliotti s.r.l.","Via Respighi, 70 12084, Rifreddo Mondovi' (CN)","26,11","2022-10-25"
"Vittorio Gentili","1992-04-27","Sommati","Jacuzzi-Ariosto e figli","Viale Rodolfo, 40 Appartamento 29 87010, Frascineto (CS)","103,11","2022-10-14"
"Luciano Castiglione","1993-06-07","Baricella","Callegaro, Gottardi e Montalti SPA","Stretto Dossi, 78 46020, Schivenoglia (MN)","21,51","2022-10-16"
"Mario Acerbi","1987-11-15","Cava D'Aliga","Gucci, Garibaldi e Celentano s.r.l.","Contrada Margherita, 949 Appartamento 88 70121, Bari (BA)","128,10","2022-10-30"
"Sig.ra Lauretta Gigli","1991-09-14","Pignataro Maggiore","Luria e figli","Incrocio Federico, 963 Appartamento 7 10045, Piossasco (TO)","18,25","2022-11-07"
"Mario Acerbi","1987-11-15","Cava D'Aliga","Gianetti s.r.l.","Contrada Briccialdi, 894 55022, Casabasciana (LU)","157,97","2022-10-22"
"Sig.ra Lauretta Gigli","1991-09-14","Pignataro Maggiore","Mazzanti-Grasso Group","Canale Rosario, 94 Appartamento 73 36021, Ponte Di Barbarano (VI)","208,80","2022-11-08"
"Vittorio Gentili","1992-04-27","Sommati","Aloisio s.r.l.","Vicolo Camilleri, 82 Appartamento 6 23814, Maggio (LC)","87,62","2022-11-11"
"Sig.ra Lauretta Gigli","1991-09-14","Pignataro Maggiore","Borsiere SPA","Canale Alessandra, 93 71041, Carapelle (FG)","67,3","2022-11-01"
"Tullio Majorana","1991-12-04","Giralba","Sgalambro, Tencalla e Condoleo e figli","Vicolo Tomei, 698 Piano 4 02030, Collelungo (RI)","116,7","2022-10-15"
"Marta Coppola","1984-03-04","Albese Con Cassano","Murialdo, Spinelli e Loredan Group","Rotonda Simone, 5 63835, Montappone (FM)","191,52","2022-10-26"
"Mario Acerbi","1987-11-15","Cava D'Aliga","Gucci, Garibaldi e Celentano s.r.l.","Contrada Margherita, 949 Appartamento 88 70121, Bari (BA)","91,82","2022-10-17"
"Diana Maffei","1995-12-06","Peschici","Alboni-Boccioni SPA","Stretto Rapisardi, 18 12089, Villanova Mondovi' (CN)","223,3","2022-11-10"
"Ugolino Schicchi-Traversa","1995-04-17","Carnello","Belletini-Gregorio SPA","Incrocio Ginese, 68 89064, Saline Ioniche (RC)","203,74","2022-10-26"
"Ugolino Schicchi-Traversa","1995-04-17","Carnello","Maderna-Riccardi Group","Strada Lidia, 4 46040, Gazoldo Degli Ippoliti (MN)","28,31","2022-10-24"
"Sig.ra Lauretta Gigli","1991-09-14","Pignataro Maggiore","Scotti SPA","Stretto Ciampi, 368 Piano 8 24020, Gromo (BG)","233,92","2022-10-28"
"Sig.ra Lauretta Gigli","1991-09-14","Pignataro Maggiore","Battaglia, Tamburini e Bersani s.r.l.","Canale Giannuzzi, 60 21061, Maccagno (VA)","175,16","2022-10-18"
"Ugolino Schicchi-Traversa","1995-04-17","Carnello","Scamarcio-Bernini s.r.l.","Strada Carlo, 77 05039, Stroncone (TR)","215,80","2022-11-05"
"Maria Marazzi","1992-06-18","Melle","Marino e figli","Borgo Sandro, 37 30131, Venezia (VE)","98,20","2022-11-05"
"Mirko Malatesta","2000-02-10","Santorso","Fantozzi SPA","Piazza Guarino, 7 Appartamento 43 06134, Perugia (PG)","53,58","2022-10-26"
"Mario Acerbi","1987-11-15","Cava D'Aliga","Puccini-Morabito SPA","Vicolo Boccioni, 27 Appartamento 5 63087, Comunanza (AP)","205,37","2022-10-16"
"Maria Marazzi","1992-06-18","Melle","Stefanelli-Tebaldi e figli","Vicolo Abate, 3 Appartamento 4 47832, San Clemente (RN)","138,95","2022-11-05"
"Sig.ra Lauretta Gigli","1991-09-14","Pignataro Maggiore","Scotti SPA","Stretto Ciampi, 368 Piano 8 24020, Gromo (BG)","111,8","2022-10-14"
"Mario Acerbi","1987-11-15","Cava D'Aliga","Cicala SPA","Borgo Borzomì, 31 Piano 9 02023, Sant'Ippolito (RI)","187,4","2022-11-03"
"Mirko Malatesta","2000-02-10","Santorso","Filippini, Vidoni e Vigliotti s.r.l.","Via Respighi, 70 12084, Rifreddo Mondovi' (CN)","209,76","2022-11-11"
"Tullio Majorana","1991-12-04","Giralba","Pigafetta e figli","Canale Visintini, 610 Appartamento 94 00025, Gerano (RM)","112,95","2022-10-22"
"Mario Acerbi","1987-11-15","Cava D'Aliga","Puccini-Morabito SPA","Vicolo Boccioni, 27 Appartamento 5 63087, Comunanza (AP)","150,19","2022-10-22"
"Marta Coppola","1984-03-04","Albese Con Cassano","Cociarelli, Rosselli e Giannetti Group","Contrada Roberta, 26 Appartamento 4 06083, Bastia (PG)","3,12","2022-10-15"
"Vittorio Gentili","1992-04-27","Sommati","Almagià-Zanazzo e figli","Incrocio Accardo, 96 Appartamento 51 15029, Solero (AL)","143,25","2022-11-04"
"Ugolino Schicchi-Traversa","1995-04-17","Carnello","Tosto, Piacentini e Trapani SPA","Via Sonia, 1 Piano 5 35017, Ronchi (PD)","204,4","2022-11-06"
"Mirko Malatesta","2000-02-10","Santorso","Salieri SPA","Via Bocca, 40 Piano 7 87010, Rota Greca (CS)","108,49","2022-10-16"
"Luciano Castiglione","1993-06-07","Baricella","Malaparte s.r.l.","Stretto Carla, 20 Piano 7 63900, San Marco (FM)","79,8","2022-10-27"
"Marta Coppola","1984-03-04","Albese Con Cassano","Botticelli-Ortolani s.r.l.","Stretto Annunziata, 7 89841, Pizzinni (VV)","80,38","2022-10-19"
"Sig.ra Lauretta Gigli","1991-09-14","Pignataro Maggiore","Scotti SPA","Stretto Ciampi, 368 Piano 8 24020, Gromo (BG)","59,99","2022-10-26"
"Tullio Majorana","1991-12-04","Giralba","Antonello, Telesio e Pavarotti e figli","Canale Fiorenzo, 718 Piano 2 83050, San Nicola Baronia (AV)","27,67","2022-11-05"
"Marta Coppola","1984-03-04","Albese Con Cassano","Passalacqua s.r.l.","Piazza Alfio, 40 Appartamento 5 80063, Piano Di Sorrento (NA)","193,74","2022-10-22"
"Sig.ra Lauretta Gigli","1991-09-14","Pignataro Maggiore","Ruggieri-Mannoia s.r.l.","Piazza Ariosto, 71 Piano 7 15051, Castellania (AL)","28,34","2022-10-29"
"Maria Marazzi","1992-06-18","Melle","Parmitano Group","Rotonda Surian, 57 Appartamento 69 22025, Lezzeno (CO)","35,43","2022-11-04"
"Diana Maffei","1995-12-06","Peschici","Ramazzotti, Polani e Pozzecco e figli","Contrada Morena, 211 Appartamento 78 58014, Manciano (GR)","236,38","2022-10-13"
"Maria Marazzi","1992-06-18","Melle","Morpurgo, Ferrucci e Agostinelli SPA","Incrocio Cipolla, 599 20842, Besana In Brianza (MB)","172,24","2022-11-03"
"Maria Marazzi","1992-06-18","Melle","Parmitano Group","Rotonda Surian, 57 Appartamento 69 22025, Lezzeno (CO)","2,62","2022-11-02"
"Mario Acerbi","1987-11-15","Cava D'Aliga","Tornatore, Condoleo e Garzoni SPA","Contrada Tiziana, 242 Appartamento 3 01027, Zepponami (VT)","181,81","2022-10-17"
"Luciano Castiglione","1993-06-07","Baricella","Malaparte s.r.l.","Stretto Carla, 20 Piano 7 63900, San Marco (FM)","175,90","2022-10-14"
"Mirko Malatesta","2000-02-10","Santorso","Guglielmi SPA","Vicolo Lina, 99 Appartamento 9 72014, Caranna (BR)","184,88","2022-10-14"
"Luciano Castiglione","1993-06-07","Baricella","Ariosto-Gori s.r.l.","Rotonda Chiara, 71 21010, Porto Valtravaglia (VA)","103,79","2022-10-15"
"Sig.ra Lauretta Gigli","1991-09-14","Pignataro Maggiore","Scotti SPA","Stretto Ciampi, 368 Piano 8 24020, Gromo (BG)","94,16","2022-11-05"
"Mirko Malatesta","2000-02-10","Santorso","Fantozzi SPA","Piazza Guarino, 7 Appartamento 43 06134, Perugia (PG)","176,6","2022-11-01"
"Mario Acerbi","1987-11-15","Cava D'Aliga","Gucci, Garibaldi e Celentano s.r.l.","Contrada Margherita, 949 Appartamento 88 70121, Bari (BA)","104,15","2022-10-23"
"Diana Maffei","1995-12-06","Peschici","Bataglia SPA","Vicolo Zacco, 15 Piano 1 88824, Belvedere Di Spinello (KR)","93,83","2022-11-01"
"Ugolino Schicchi-Traversa","1995-04-17","Carnello","Manacorda Group","Borgo Catenazzi, 33 Appartamento 65 44037, Jolanda Di Savoia (FE)","227,67","2022-10-19"
"Marta Coppola","1984-03-04","Albese Con Cassano","Porcellato, Monaco e Udinese Group","Via Amadeo, 718 Piano 3 55018, Segromigno In Monte (LU)","159,89","2022-10-29"
"Mario Acerbi","1987-11-15","Cava D'Aliga","Tornatore, Condoleo e Garzoni SPA","Contrada Tiziana, 242 Appartamento 3 01027, Zepponami (VT)","206,17","2022-11-07"
"Vittorio Gentili","1992-04-27","Sommati","Ferrazzi-Gaiatto SPA","Strada Dulbecco, 54 Piano 9 25011, Calcinato (BS)","193,77","2022-10-25"
"Tullio Majorana","1991-12-04","Giralba","Rossini e figli","Rotonda Daria, 5 Piano 7 28014, Maggiora (NO)","63,70","2022-10-25"
"Ugolino Schicchi-Traversa","1995-04-17","Carnello","Belletini-Gregorio SPA","Incrocio Ginese, 68 89064, Saline Ioniche (RC)","55,38","2022-10-20"
"Vittorio Gentili","1992-04-27","Sommati","Almagià-Zanazzo e figli","Incrocio Accardo, 96 Appartamento 51 15029, Solero (AL)","54,69","2022-10-18"
"Mario Acerbi","1987-11-15","Cava D'Aliga","Cicala SPA","Borgo Borzomì, 31 Piano 9 02023, Sant'Ippolito (RI)","143,78","2022-11-11"
"Luciano Castiglione","1993-06-07","Baricella","Malaparte s.r.l.","Stretto Carla, 20 Piano 7 63900, San Marco (FM)","161,49","2022-10-24"
"Vittorio Gentili","1992-04-27","Sommati","Ferrazzi-Gaiatto SPA","Strada Dulbecco, 54 Piano 9 25011, Calcinato (BS)","226,28","2022-11-08"
"Luciano Castiglione","1993-06-07","Baricella","Fattori, Zarlino e Schiavo Group","Viale Bergoglio, 34 Appartamento 3 23016, Mantello (SO)","125,28","2022-11-03"
"Mirko Malatesta","2000-02-10","Santorso","Guglielmi SPA","Vicolo Lina, 99 Appartamento 9 72014, Caranna (BR)","211,30","2022-10-20"
"Sig.ra Lauretta Gigli","1991-09-14","Pignataro Maggiore","Mazzanti-Grasso Group","Canale Rosario, 94 Appartamento 73 36021, Ponte Di Barbarano (VI)","209,1","2022-11-03"
"Tullio Majorana","1991-12-04","Giralba","Stoppani Group","Vicolo Pietrangeli, 84 Piano 0 90037, Piana Degli Albanesi (PA)","65,42","2022-10-29"
"Mirko Malatesta","2000-02-10","Santorso","Cannizzaro-Barberini Group","Viale Sole, 94 Appartamento 13 23893, Cassago Brianza (LC)","224,52","2022-10-20"
"Luciano Castiglione","1993-06-07","Baricella","Marazzi-Mondadori SPA","Vicolo Sollima, 6 Appartamento 11 20847, Albiate (MB)","11,64","2022-10-26"
"Vittorio Gentili","1992-04-27","Sommati","Mondaini, Lollobrigida e Pavone e figli","Contrada Valguarnera, 10 Appartamento 14 70010, Adelfia Montrone (BA)","238,22","2022-11-05"
"Ugolino Schicchi-Traversa","1995-04-17","Carnello","Manacorda Group","Borgo Catenazzi, 33 Appartamento 65 44037, Jolanda Di Savoia (FE)","143,69","2022-11-04"
"Vittorio Gentili","1992-04-27","Sommati","Barzini, Pergolesi e Franzese s.r.l.","Rotonda Solimena, 438 31055, Quinto Di Treviso (TV)","157,75","2022-10-25"
"Tullio Majorana","1991-12-04","Giralba","Anguillara s.r.l.","Piazza Puccio, 4 Appartamento 43 43050, Valmozzola Stazione (PR)","120,28","2022-11-03"
"Maria Marazzi","1992-06-18","Melle","Parmitano Group","Rotonda Surian, 57 Appartamento 69 22025, Lezzeno (CO)","102,70","2022-10-27"
"Luciano Castiglione","1993-06-07","Baricella","Ziani e figli","Via Milena, 413 Appartamento 39 13891, Camburzano (BI)","112,27","2022-11-09"
"Vittorio Gentili","1992-04-27","Sommati","Jacuzzi-Ariosto e figli","Viale Rodolfo, 40 Appartamento 29 87010, Frascineto (CS)","2,11","2022-10-13"
"Diana Maffei","1995-12-06","Peschici","Alboni-Boccioni SPA","Stretto Rapisardi, 18 12089, Villanova Mondovi' (CN)","222,20","2022-10-18"
"Diana Maffei","1995-12-06","Peschici","Vercelloni, Fioravanti e Navone Group","Rotonda Tiziana, 93 Piano 9 03010, Madonna Delle Grazie (FR)","228,7","2022-11-03"
"Luciano Castiglione","1993-06-07","Baricella","Marazzi-Mondadori SPA","Vicolo Sollima, 6 Appartamento 11 20847, Albiate (MB)","99,85","2022-10-19"
"Mario Acerbi","1987-11-15","Cava D'Aliga","Bianchini-Zola e figli","Via Pareto, 258 92027, Licata (AG)","81,51","2022-10-29"
"Diana Maffei","1995-12-06","Peschici","Sforza-Ferrata SPA","Stretto Cafarchia, 3 Piano 7 30035, Mirano (VE)","22,23","2022-10-20"
"Diana Maffei","1995-12-06","Peschici","Ramazzotti, Polani e Pozzecco e figli","Contrada Morena, 211 Appartamento 78 58014, Manciano (GR)","62,5","2022-11-01"
"Mirko Malatesta","2000-02-10","Santorso","Cannizzaro-Barberini Group","Viale Sole, 94 Appartamento 13 23893, Cassago Brianza (LC)","5,57","2022-11-08"
"Maria Marazzi","1992-06-18","Melle","Marino e figli","Borgo Sandro, 37 30131, Venezia (VE)","151,32","2022-10-27"
"Tullio Majorana","1991-12-04","Giralba","Antonello, Telesio e Pavarotti e figli","Canale Fiorenzo, 718 Piano 2 83050, San Nicola Baronia (AV)","51,38","2022-10-30"
